date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
20140502T000000,285000.0,3,2.5,2090.0,10834.0,1.0,0,0,4,1360,730,1987,,27736 23rd Avenue South,Federal Way,WA 98003,USA
20140502T000000,615000.0,3,1.75,2360.0,7291.0,1.0,0,0,4,1360,1000,1948,,8436-8438 41st Ave SW,Seattle,WA 98136,USA
20140502T000000,698000.0,4,2.25,2200.0,11250.0,1.5,0,0,5,1300,900,1920,,1036 4th St,Kirkland,WA 98033,USA
20140502T000000,675000.0,5,2.5,2820.0,67518.0,2.0,0,0,3,2820,0,1979,,23525 SE 32nd Way,Issaquah,WA 98029,USA
20140502T000000,790000.0,3,2.5,2600.0,4750.0,1.0,0,0,4,1700,900,1951,,3314 NW 75th St,Seattle,WA 98117,USA
20140502T000000,382500.0,4,1.75,1560.0,8700.0,1.0,0,0,4,1560,0,1967,,14104 119th Ave NE,Kirkland,WA 98034,USA
20140502T000000,499950.0,4,2.5,2860.0,3345.0,2.0,0,0,3,2190,670,2004,,20120 137th Ave NE,Woodinville,WA 98072,USA
20140502T000000,650000.0,4,2.0,1820.0,5000.0,1.5,0,1,3,1640,180,1945,,7201-7399 55th Ave NE,Seattle,WA 98115,USA
20140502T000000,625000.0,4,2.5,2820.0,8408.0,2.0,0,0,3,2820,0,2014,,17052 4th Ave NE,Shoreline,WA 98155,USA
20140502T000000,400000.0,4,2.5,3630.0,42884.0,1.5,0,0,3,2300,1330,1979,,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
20140502T000000,604000.0,3,2.5,3240.0,33151.0,2.0,0,2,3,3240,0,1995,,30822 36th Ct SW,Federal Way,WA 98023,USA
20140502T000000,440000.0,2,1.0,800.0,4850.0,1.0,0,0,4,800,0,1944,,4801-4899 6th Ave NW,Seattle,WA 98107,USA
20140502T000000,287200.0,3,3.0,1850.0,19966.0,1.0,0,0,4,1090,760,1992,,23017 SE 281st Ct,Maple Valley,WA 98038,USA
20140502T000000,403000.0,3,2.0,1960.0,13100.0,1.0,0,2,5,1650,310,1957,,17825 4th Ave SW,Normandy Park,WA 98166,USA
20140502T000000,750000.0,3,2.5,2390.0,6550.0,1.0,0,2,4,1440,950,1955,,3628 59th Ave SW,Seattle,WA 98116,USA
20140502T000000,335000.0,3,2.25,1580.0,16215.0,1.0,0,0,4,1580,0,1978,,4460 332nd Ave SE,Fall City,WA 98024,USA
20140502T000000,260000.0,4,2.0,1480.0,8625.0,1.0,0,0,4,1480,0,1974,,2019 Aberdeen Pl SE,Renton,WA 98055,USA
20140502T000000,308500.0,2,1.0,850.0,6174.0,1.0,0,0,4,850,0,1950,,121 NE 147th St,Shoreline,WA 98155,USA
20140502T000000,439950.0,3,2.5,1770.0,2875.0,2.0,0,0,3,1770,0,1990,,4458 51st Ave SW,Seattle,WA 98116,USA
20140502T000000,235000.0,2,1.0,1210.0,9400.0,1.0,0,0,2,1210,0,1949,,7542 21st Ave SW,Seattle,WA 98106,USA
20140502T000000,315000.0,3,1.0,1160.0,9180.0,1.0,0,0,3,1160,0,1968,,15804 198th Pl NE,Woodinville,WA 98077,USA
20140502T000000,437500.0,3,2.25,1970.0,35100.0,2.0,0,0,4,1970,0,1977,,26069 SE 154th St,Issaquah,WA 98027,USA
20140502T000000,407500.0,3,2.5,1930.0,10460.0,2.0,0,0,3,1930,0,1996,,4314 NE 6th Pl,Renton,WA 98059,USA
20140502T000000,445700.0,3,2.5,1270.0,1180.0,3.0,0,0,3,1270,0,2001,,2640 NW 56th St,Seattle,WA 98107,USA
20140502T000000,838000.0,4,2.5,3310.0,42998.0,2.0,0,0,3,3310,0,2001,,15712 NE 136th Pl,Redmond,WA 98052,USA
20140502T000000,630000.0,4,2.75,2710.0,37277.0,2.0,0,0,3,2710,0,2000,,26429 SE 154th Pl,Issaquah,WA 98027,USA
20140502T000000,550000.0,3,1.75,2910.0,35200.0,1.5,0,0,3,2910,0,1979,,3923 229th Pl SE,Sammamish,WA 98075,USA
20140502T000000,805000.0,3,2.0,2710.0,4500.0,1.5,0,0,4,1880,830,1929,,6222 30th Ave NE,Seattle,WA 98115,USA
20140502T000000,284000.0,3,1.75,1800.0,23103.0,1.0,0,0,3,1800,0,1968,,32418 NE 50th St,Carnation,WA 98014,USA
20140502T000000,470000.0,5,2.5,2210.0,9655.0,1.0,0,0,3,1460,750,1976,,19334 89th Ave NE,Bothell,WA 98011,USA
20140502T000000,430000.0,4,1.5,1920.0,10000.0,1.0,0,0,4,1070,850,1954,,4071 156th Ave SE,Bellevue,WA 98006,USA
20140502T000000,491500.0,4,1.75,2190.0,125452.0,1.0,0,2,3,2190,0,1968,,36850 204th Ave SE,Auburn,WA 98092,USA
20140502T000000,785000.0,5,3.25,3660.0,11995.0,2.0,0,2,3,3660,0,2006,,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA
20140502T000000,385000.0,3,3.25,1320.0,1327.0,2.0,0,0,3,1040,280,2008,,3400 21st Ave W,Seattle,WA 98199,USA
20140502T000000,295000.0,2,2.5,1630.0,1368.0,2.0,0,0,3,1280,350,2009,,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
20140502T000000,555000.0,4,2.5,3310.0,6500.0,2.0,0,0,3,3310,0,2012,,35229 SE Terrace St,Snoqualmie,WA 98065,USA
20140502T000000,459990.0,3,2.5,2680.0,5539.0,2.0,0,0,3,2680,0,2013,,13800 453rd Ave SE,North Bend,WA 98045,USA
20140502T000000,625000.0,4,3.25,2730.0,54014.0,1.0,0,0,3,1560,1170,2007,,9927 174th Ave SE,Renton,WA 98059,USA
20140502T000000,300000.0,3,2.5,2540.0,5050.0,2.0,0,0,3,2540,0,2006,,29734 215th Terrace SE,Kent,WA 98042,USA
20140503T000000,625000.0,4,2.75,2920.0,6605.0,2.0,0,0,3,2920,0,2012,,5608 NE 5th Cir,Renton,WA 98059,USA
20140503T000000,553000.0,2,1.0,900.0,5000.0,1.0,0,0,3,900,0,1944,,8053 29th Ave NW,Seattle,WA 98117,USA
20140503T000000,379880.0,3,2.5,1650.0,14054.0,1.0,0,0,4,1130,520,1986,,13256 242nd Pl SE,Issaquah,WA 98027,USA
20140503T000000,310000.0,3,1.0,1010.0,9945.0,1.0,0,0,4,1010,0,1973,,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
20140504T000000,775000.0,2,2.5,2680.0,7392.0,1.0,0,0,3,2680,0,2004,,13134 234th Ct NE,Redmond,WA 98053,USA
20140504T000000,365000.0,3,2.5,2200.0,7350.0,1.0,0,0,5,1570,630,1988,,13420 SE 182nd St,Renton,WA 98058,USA
20140504T000000,331950.0,4,2.5,2530.0,9933.0,2.0,0,2,3,2010,520,1990,,925 48th Ct,Auburn,WA 98092,USA
20140504T000000,783500.0,3,2.5,2850.0,7130.0,2.0,0,0,3,1990,860,1980,,151 Euclid Ave,Seattle,WA 98122,USA
20140504T000000,628000.0,4,2.0,2280.0,6010.0,1.0,0,0,3,1140,1140,1900,,205-206 Euclid Ave,Seattle,WA 98122,USA
20140505T000000,560000.0,3,2.5,1900.0,8744.0,2.0,0,0,3,1900,0,1987,,22314 NE 11th Pl,Sammamish,WA 98074,USA
20140505T000000,900000.0,3,1.0,1330.0,77972.0,1.0,0,0,3,1330,0,1928,1954.0,13615 NE 100th St,Kirkland,WA 98033,USA
20140505T000000,531000.0,2,3.0,1270.0,1175.0,2.0,0,0,3,1110,160,2000,,1411 N 48th St,Seattle,WA 98103,USA
20140505T000000,831000.0,4,3.0,2170.0,4000.0,2.0,0,0,4,1610,560,1982,2011.0,120 31st Ave E,Seattle,WA 98112,USA
20140505T000000,780000.0,4,2.5,2730.0,10281.0,2.0,0,2,3,2730,0,1996,,23140 NE 14th Ct,Sammamish,WA 98074,USA
20140505T000000,755000.0,4,2.5,2120.0,10202.0,1.0,0,0,4,1620,500,1960,,12645 SE 27th St,Bellevue,WA 98005,USA
20140505T000000,705380.0,3,2.5,2490.0,4343.0,2.0,0,0,3,2490,0,2003,,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
20140505T000000,627000.0,4,2.25,1990.0,7712.0,1.0,0,0,3,1210,780,1973,,18915 SE 42nd Pl,Issaquah,WA 98027,USA
20140505T000000,865000.0,4,3.0,3690.0,9892.0,2.0,0,0,3,3690,0,1998,,1765 267th Ct SE,Sammamish,WA 98075,USA
20140505T000000,580000.0,2,1.0,2540.0,7000.0,1.0,0,0,5,1320,1220,1942,,8624 Island Dr S,Seattle,WA 98118,USA
20140505T000000,410000.0,3,2.25,1800.0,36704.0,1.0,0,0,4,1360,440,1978,,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA
20140505T000000,485000.0,4,3.0,2340.0,7048.0,1.0,0,0,4,1340,1000,1979,,14319 85th Pl NE,Kirkland,WA 98034,USA
20140505T000000,400000.0,2,1.75,2110.0,9519.0,1.0,0,0,2,2110,0,1948,,2120 NE 168th St,Shoreline,WA 98155,USA
20140505T000000,549000.0,2,1.0,1140.0,5400.0,1.0,0,0,5,1140,0,1908,,209 30th Ave E,Seattle,WA 98112,USA
20140505T000000,620000.0,3,1.75,1480.0,2185.0,2.5,0,0,3,1480,0,2005,,10512 128th Ave NE,Kirkland,WA 98033,USA
20140505T000000,405000.0,2,3.0,1410.0,1240.0,2.0,0,0,3,1140,270,2006,,9126 45th Ave SW,Seattle,WA 98136,USA
20140505T000000,232000.0,2,1.0,1200.0,8063.0,1.0,0,0,4,1200,0,1958,,20220 8th Ave S,Des Moines,WA 98198,USA
20140505T000000,800866.0,5,2.5,3180.0,13806.0,2.0,0,0,4,3180,0,1990,,11821 NE 48th Pl,Kirkland,WA 98033,USA
20140505T000000,650000.0,3,1.5,2160.0,9000.0,1.0,0,2,4,1400,760,1949,,13026 10th Ave NW,Seattle,WA 98177,USA
20140505T000000,823000.0,6,1.75,2920.0,5000.0,2.5,0,0,4,2780,140,1908,,125 29th Ave,Seattle,WA 98122,USA
20140505T000000,770000.0,3,2.0,2350.0,5700.0,1.5,0,0,4,1810,540,1939,,2171 Boyer Ave E,Seattle,WA 98112,USA
20140505T000000,524000.0,3,1.75,1560.0,5520.0,1.0,0,0,4,780,780,1944,,3434 33rd Ave W,Seattle,WA 98199,USA
20140505T000000,541125.0,5,2.75,2740.0,8426.0,1.0,0,0,4,1370,1370,1960,,5211 116th Pl SE,Bellevue,WA 98006,USA
20140505T000000,670000.0,3,2.5,1680.0,2000.0,3.0,0,0,3,1680,0,1909,1998.0,3503 NE 44th St,Seattle,WA 98105,USA
20140505T000000,384900.0,5,2.5,3090.0,12750.0,1.0,0,0,3,1750,1340,1968,,114 SW 292nd St,Federal Way,WA 98023,USA
20140505T000000,406100.0,3,2.25,1410.0,1332.0,3.0,0,0,3,1410,0,2005,,8536 Interlake Ave N,Seattle,WA 98103,USA
20140505T000000,1395000.0,5,3.5,4010.0,8510.0,2.0,0,1,5,2850,1160,1971,,3930 NE Belvoir Pl,Seattle,WA 98105,USA
20140505T000000,736500.0,4,2.5,3180.0,21904.0,2.0,0,3,3,3180,0,2000,,17132 SE 100th St,Renton,WA 98059,USA
20140505T000000,570000.0,3,2.25,2010.0,6000.0,1.0,0,0,3,1330,680,1975,,10204 168th Pl NE,Redmond,WA 98052,USA
20140505T000000,787000.0,3,1.75,1330.0,7500.0,1.0,0,0,3,1330,0,1961,,218 109th Ave SE,Bellevue,WA 98004,USA
20140505T000000,328000.0,4,2.5,2370.0,6500.0,2.0,0,0,3,2370,0,1998,,12621 SE 300th Way,Auburn,WA 98092,USA
20140505T000000,435000.0,5,2.0,1840.0,9240.0,1.0,0,0,4,1540,300,1942,1958.0,14013 Ashworth Ave N,Seattle,WA 98133,USA
20140505T000000,499000.0,4,2.5,2910.0,6479.0,2.0,0,0,3,2910,0,2006,,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
20140505T000000,501000.0,4,1.0,2070.0,7519.0,1.0,0,0,3,1160,910,1963,,2506 166th Ave NE,Bellevue,WA 98008,USA
20140505T000000,1090000.0,4,2.5,4340.0,141570.0,2.5,0,0,3,4340,0,1992,,8814 218th Ave NE,Redmond,WA 98053,USA
20140505T000000,400000.0,2,1.0,840.0,5510.0,1.0,0,0,3,840,0,1955,,4515 SW Trenton St,Seattle,WA 98136,USA
20140505T000000,220000.0,4,1.5,1240.0,9600.0,1.0,0,0,3,1240,0,1971,,4924 SW 314th Pl,Federal Way,WA 98023,USA
20140505T000000,657100.0,4,1.0,1390.0,4240.0,1.0,0,0,3,1050,340,1924,,4312 Woodlawn Ave N,Seattle,WA 98103,USA
20140505T000000,309950.0,4,2.75,2310.0,5000.0,2.0,0,0,3,2310,0,2006,,22912 SE 268th Pl,Maple Valley,WA 98038,USA
20140505T000000,300000.0,3,2.0,1050.0,10072.0,1.0,0,0,3,1050,0,1986,,27106 NE Miller St,Duvall,WA 98019,USA
20140505T000000,525888.0,5,1.75,2550.0,71874.0,1.0,0,0,5,1810,740,1960,,13129 195th Pl SE,Issaquah,WA 98027,USA
20140505T000000,740000.0,4,1.75,2010.0,3600.0,1.5,0,0,3,2010,0,1902,,1014 W Garfield St,Seattle,WA 98119,USA
20140505T000000,340000.0,5,1.0,1120.0,9022.0,1.5,0,0,4,1120,0,1962,,14150 75th Ave NE,Kirkland,WA 98034,USA
20140505T000000,398750.0,3,2.5,2230.0,4000.0,2.0,0,0,3,2230,0,1954,,2601 21st Ave S,Seattle,WA 98144,USA
20140505T000000,206000.0,2,1.0,810.0,7158.0,1.0,0,0,5,810,0,1944,,12807 7th Ave S,Burien,WA 98168,USA
20140505T000000,1030000.0,5,2.75,3190.0,16920.0,1.0,0,3,3,1690,1500,1976,,4529 135th Ave SE,Bellevue,WA 98006,USA
20140505T000000,600000.0,3,1.75,1670.0,39639.0,1.0,0,0,4,1670,0,1976,1992.0,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA
20140505T000000,379950.0,4,1.75,1970.0,9389.0,1.0,0,0,5,1140,830,1960,,1701 N 204th Pl,Shoreline,WA 98133,USA
20140505T000000,287000.0,3,1.0,1450.0,6000.0,1.0,0,0,4,1450,0,1953,,8681 Beacon Ave S,Seattle,WA 98118,USA
20140505T000000,2280000.0,7,8.0,13540.0,307752.0,3.0,0,4,3,9410,4130,1999,,26408 NE 70th St,Redmond,WA 98053,USA
20140505T000000,309950.0,3,2.5,1880.0,7838.0,2.0,0,0,3,1880,0,1994,,17717 113th Pl SE,Renton,WA 98055,USA
20140505T000000,600000.0,3,1.75,1880.0,6360.0,1.0,0,0,4,1040,840,1945,,8040 39th Ave NE,Seattle,WA 98115,USA
20140505T000000,418000.0,3,2.0,1410.0,6030.0,1.5,0,0,4,1410,0,1930,,901 N 97th St,Seattle,WA 98103,USA
20140505T000000,449250.0,4,2.0,1480.0,3844.0,1.5,0,0,5,1480,0,1928,,519 N 104th St,Seattle,WA 98133,USA
20140505T000000,329950.0,2,1.0,1140.0,5250.0,1.5,0,0,4,1140,0,1949,,14017 Roslyn Pl N,Seattle,WA 98133,USA
20140505T000000,245000.0,3,1.75,1920.0,9306.0,1.0,0,0,3,1000,920,1984,,30001-30021 55th Pl S,Auburn,WA 98001,USA
20140505T000000,549000.0,4,2.5,2910.0,6338.0,2.0,0,0,3,2910,0,2008,,16026 SE 137th Terrace,Renton,WA 98059,USA
20140505T000000,800000.0,3,2.5,3240.0,7857.0,2.0,0,0,3,3240,0,1994,,22721-22727 SE 27th St,Sammamish,WA 98075,USA
20140505T000000,249950.0,3,2.0,1550.0,15040.0,1.0,0,0,4,1550,0,1958,,18027 SE 128th St,Renton,WA 98059,USA
20140505T000000,210000.0,5,2.0,2050.0,10200.0,1.0,0,0,3,1430,620,1956,,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
20140505T000000,1425000.0,2,2.5,2220.0,4000.0,2.0,0,0,3,2220,0,2000,,1857 41st Ave E,Seattle,WA 98112,USA
20140505T000000,585000.0,2,1.0,1770.0,8640.0,1.5,0,0,3,1520,250,1949,,353 NW 88th St,Seattle,WA 98117,USA
20140505T000000,615000.0,4,1.75,2300.0,11700.0,1.0,0,0,4,1960,340,1977,,18427 NE 26th Way,Redmond,WA 98052,USA
20140505T000000,618500.0,3,2.0,1800.0,5000.0,1.0,0,0,4,1080,720,1942,,2803 NE 62nd St,Seattle,WA 98115,USA
20140505T000000,487585.0,4,1.75,2010.0,9211.0,1.0,0,0,3,1470,540,1977,,13313 127th Pl NE,Kirkland,WA 98034,USA
20140505T000000,509900.0,3,2.5,1790.0,2700.0,2.0,0,0,3,1790,0,2010,,4532 185th Ave SE,Issaquah,WA 98027,USA
20140505T000000,631625.0,4,2.5,2440.0,6651.0,2.0,0,0,3,2440,0,2014,,9288-9358 Holman Rd NW,Seattle,WA 98117,USA
20140505T000000,555000.0,3,2.5,1940.0,3211.0,2.0,0,0,3,1940,0,2009,,4509 185th Ave SE,Issaquah,WA 98027,USA
20140505T000000,340000.0,2,1.5,1160.0,1438.0,2.0,0,0,3,1160,0,2001,,1318 29th Ave S,Seattle,WA 98144,USA
20140505T000000,830000.0,4,2.5,3400.0,9692.0,2.0,0,0,3,3400,0,2007,,12001 173rd Pl NE,Redmond,WA 98052,USA
20140505T000000,890000.0,4,4.25,4420.0,5750.0,2.0,0,0,3,3410,1010,2006,,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
20140505T000000,366750.0,3,3.0,1571.0,2017.0,3.0,0,0,3,1571,0,2008,,14359 19th Ave NE,Seattle,WA 98125,USA
20140505T000000,415000.0,3,2.25,1620.0,998.0,2.5,0,0,3,1540,80,2010,,935 4th Ave NE,Issaquah,WA 98029,USA
20140505T000000,416286.0,3,2.5,1408.0,989.0,3.0,0,0,3,1408,0,2005,,7809 12th Ave NE,Seattle,WA 98115,USA
20140505T000000,478000.0,3,2.5,3040.0,4535.0,2.0,0,0,3,3040,0,2007,,2027 Ferndale Ave NE,Renton,WA 98056,USA
20140505T000000,890000.0,5,3.5,4490.0,6000.0,2.0,0,0,3,3200,1290,2006,,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
20140505T000000,419190.0,2,2.5,1590.0,1426.0,2.0,0,0,3,1590,0,2014,,1273 NE Hickory Ln,Issaquah,WA 98029,USA
20140505T000000,712198.0,4,2.5,2450.0,4247.0,2.0,0,0,3,2450,0,2013,,17122 NE 117th St,Redmond,WA 98052,USA
20140506T000000,397000.0,4,2.0,1440.0,7680.0,1.0,0,0,3,1200,240,1971,,10601 NE 138th Pl,Kirkland,WA 98034,USA
20140506T000000,450000.0,2,2.0,1100.0,3000.0,1.5,0,0,3,1100,0,1912,2005.0,412 NW 70th St,Seattle,WA 98117,USA
20140506T000000,353000.0,3,1.0,1350.0,7740.0,1.0,0,0,4,860,490,1947,,11051 35th Ave NE,Seattle,WA 98125,USA
20140506T000000,609000.0,4,2.5,2150.0,37981.0,2.0,0,0,3,2150,0,1985,,18114 NE 136th St,Redmond,WA 98052,USA
20140506T000000,234000.0,3,1.75,1490.0,8366.0,1.0,0,0,4,1010,480,1975,,25305 151st Pl SE,Covington,WA 98042,USA
20140506T000000,561000.0,3,2.0,2000.0,7000.0,2.0,0,0,3,2000,0,1916,1986.0,6422 Marshall Ave SW,Seattle,WA 98136,USA
20140506T000000,469000.0,2,1.0,1030.0,4400.0,1.0,0,0,3,1030,0,1924,,310 NW 72nd St,Seattle,WA 98117,USA
20140506T000000,329350.0,2,1.0,720.0,6687.0,1.0,0,0,3,720,0,1942,,9712 4th Ave NW,Seattle,WA 98117,USA
20140506T000000,488000.0,5,2.0,2020.0,5000.0,1.5,0,0,4,2020,0,1938,,9020-9024 11th Ave NW,Seattle,WA 98117,USA
20140506T000000,279900.0,3,1.75,1580.0,8151.0,1.0,0,1,4,1100,480,1962,,1629 S 261st Pl,Des Moines,WA 98198,USA
20140506T000000,606000.0,4,2.5,2110.0,13850.0,2.0,0,0,3,2110,0,1987,,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA
20140506T000000,312000.0,4,2.0,1300.0,7054.0,1.0,0,0,3,1300,0,1950,2013.0,2815 SW 107th St,Seattle,WA 98146,USA
20140506T000000,650000.0,3,1.5,1630.0,7475.0,1.0,0,1,3,1160,470,1940,,6009 52nd Ave NE,Seattle,WA 98115,USA
20140506T000000,1135000.0,4,2.75,3370.0,8103.0,1.0,0,3,3,1970,1400,1970,2014.0,3922 SW Henderson St,Seattle,WA 98136,USA
20140506T000000,325000.0,4,2.5,1890.0,6156.0,1.0,0,0,3,980,910,1980,,5631 17th Ave SW,Seattle,WA 98106,USA
20140506T000000,425000.0,4,2.0,1520.0,7983.0,1.0,0,0,5,1520,0,1967,,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA
20140506T000000,219000.0,2,1.0,900.0,5160.0,1.0,0,0,3,900,0,1952,,8652 17th Ave SW,Seattle,WA 98106,USA
20140506T000000,250000.0,3,1.0,1050.0,6874.0,1.0,0,0,3,1050,0,1954,,18305 Dayton Ave N,Shoreline,WA 98133,USA
20140506T000000,390000.0,3,1.75,1260.0,6500.0,1.0,0,0,4,1260,0,1966,,1415 168th Ave NE,Bellevue,WA 98008,USA
20140506T000000,475000.0,6,3.0,3470.0,117612.0,1.5,0,0,3,3470,0,1924,,19007 80th Ave NE,Kenmore,WA 98028,USA
20140506T000000,736000.0,4,2.5,2290.0,12047.0,2.0,0,0,4,2290,0,1988,,17435 SE 47th St,Bellevue,WA 98006,USA
20140506T000000,407000.0,4,2.25,2810.0,23400.0,1.0,0,1,3,1710,1100,1958,,23024-23198 17th Ave S,Des Moines,WA 98198,USA
20140506T000000,272000.0,3,2.5,1650.0,13816.0,2.0,0,0,3,1650,0,1998,,32000-32072 NE 55th St,Carnation,WA 98014,USA
20140506T000000,362000.0,3,2.25,1640.0,14374.0,1.0,0,0,4,1140,500,1963,,17253 Ambaum Blvd S,Burien,WA 98148,USA
20140506T000000,535000.0,3,2.5,1850.0,10109.0,2.0,0,0,3,1850,0,1991,,8409 NE 129th Pl,Kirkland,WA 98034,USA
20140506T000000,284000.0,4,2.5,2000.0,5390.0,2.0,0,0,3,2000,0,2003,,25434 160th Ave SE,Kent,WA 98042,USA
20140506T000000,367500.0,3,1.5,1410.0,9647.0,1.0,0,0,3,1410,0,1961,,18048 3rd Ave NW,Shoreline,WA 98177,USA
20140506T000000,379900.0,4,1.75,1500.0,11600.0,1.0,0,0,4,1000,500,1955,,15007 75th Ave NE,Kenmore,WA 98028,USA
20140506T000000,520000.0,3,2.5,2460.0,54885.0,2.0,0,0,4,2460,0,1980,,5424 NE 10th St,Renton,WA 98059,USA
20140506T000000,175000.0,3,1.0,1010.0,7034.0,1.0,0,0,3,1010,0,1954,,207 NW 5th St,Renton,WA 98057,USA
20140506T000000,460000.0,2,2.25,1230.0,929.0,2.0,0,0,3,1020,210,2004,,100 24th Ave E,Seattle,WA 98112,USA
20140506T000000,345000.0,4,2.5,2331.0,3826.0,2.0,0,0,3,2331,0,2007,,11853 SE 176th Ct,Renton,WA 98058,USA
20140506T000000,455000.0,5,2.5,2240.0,7770.0,1.0,0,0,3,1340,900,1978,,12633 NE 133rd Pl,Kirkland,WA 98034,USA
20140506T000000,610000.0,4,3.0,2450.0,10117.0,1.0,0,0,5,1580,870,1967,,15607 SE 42nd Ct,Bellevue,WA 98006,USA
20140506T000000,563000.0,4,3.0,3100.0,15480.0,2.0,0,0,3,2400,700,1996,,7422 NE 163rd St,Kenmore,WA 98028,USA
20140506T000000,612500.0,4,2.0,2060.0,5000.0,1.0,0,0,3,1030,1030,1949,2013.0,1708 NW 96th St,Seattle,WA 98117,USA
20140506T000000,218000.0,3,1.75,1850.0,7684.0,1.0,0,0,3,1320,530,1979,,33945 28th Pl SW,Federal Way,WA 98023,USA
20140506T000000,404000.0,4,1.75,1840.0,10720.0,1.0,0,0,3,960,880,1958,,16020 SE 2nd St,Bellevue,WA 98008,USA
